Idtram,Tramite,TraNombre,Similitud (%),Visitas Totales,Solicitudes,Secretaria,Dependencia,Modalidad,Domicilio,tiempo_estimado_por_persona,unidad_tiempo,cantidad_atenciones_2022,cantidad_atenciones_2023,cantidad_atenciones_2024,nivel_digitalizacion,TipoTramite,TraPersona,TraResolucionesFavorables,TraResolucionesNegativas,NumRequisitos,NumFormatos,TraCosto,RangoMontoInicial,RangoMontoFinal,PermiteAgendarCita,AgendarCitaEnLinea,DescargaFormatos,ExisteAppTramite,ResolucionInmediata,Sector,QuienSolicita,ListRequisitos
7679,Transporte Público Masivo de Pasajeros Tuzobús.,Transporte Público Masivo de Pasajeros Tuzobús.,100,3852,20954525,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Presencial,Calle s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,5,min,19403619,20959565,22410847,Nivel 1,Otro,Social,21096550,0,1,,VERDADERO,,,0,0,,,,,Otro,Pago de la tarifa.
1743,Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),100,81886,477263,Secretaría de Hacienda,Secretaría de Hacienda,Presencial,Calle No. 1 Centro 42500 Pachuca De Soto Pachuca De Soto,10,min,,582908,417231,Nivel 4.1,Refrendo,Ambos,368871,0,19,,VERDADERO,5.20,13.00,0,0,,1,1,,Representante legal | Interesado | Tercero con carta poder,"Identificación oficial con fotografía Vigente | Ficha Universal de Pago | Recibo de pago de la Institución Bancaria | Poder notarial | Cédula de Identificación Fiscal con Registro Federal de Contribuyentes | Clave Única de Registro de Población (CURP) | Acta constitutiva | Factura | Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera. | Juego de placas metálicas o Acta ante el M.P. por robo o extravío | Vehículo para su inspección física. | Certificado de antigüedad vigente emitido por la Universidad Politécnica de Pachuca | Certificado médico expedido por una institución pública, no mayor a 12 meses de antigüedad que acredite la discapacidad neuromotora o músculo esquelético del propietario o del familiar del propietario. (Presentando acta de nacimiento o acta de matrimonio). | Contrato de Compra-Venta, Cesión de Derechos o Carta Responsiva. | Copia de Identificación oficial con fotografía | Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera. | Escrito Libre (de solicitud o petición) | Fianza en términos de lo establecido en el Reglamento de la LCVEH | Documento que acredite la representación legal e identificación del apoderado legal."
9229,Canje de Placas,Canje de Placas,100,82305,373655,Secretaría de Hacienda,Secretaría de Hacienda,Presencial,Calle 801 Canutillo 42060 Pachuca De Soto Pachuca De Soto,20,min,6339,404013,11772,,Otro,Ambos,423743,0,22,,VERDADERO,5.20,13.00,0,0,,,,,Representante legal | Interesado | Tercero con carta poder,"Identificación oficial con fotografía Vigente | Comprobante de Domicilio | Cédula de Identificación Fiscal con Registro Federal de Contribuyentes | Clave Única de Registro de Población (CURP) | Poder notarial | Acta constitutiva | Ficha Universal de Pago | Recibo de pago de la Institución Bancaria | Factura, Refacturación, Factura Judicial o Título de propiedad. Factura de Motor | Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera. | Juego de placas metálicas o Acta ante el M.P. por robo o extravío | Presentar el vehículo para su inspección física | Certificado de antigüedad vigente emitido por la Universidad Politécnica de Pachuca | Certificado médico expedido por una institución pública | Contrato de Compra-Venta, Cesión de Derechos o Carta Responsiva. | Copia de Identificación oficial con fotografía del Vendedor en su caso. | Oficio de autorización expedido por el Sistema de Transporte Convencional de Hidalgo | Presentar el formato de Revista que emite SCTH | Escrito en papel membretado, dirigido al Titular de la DGR dependiente de la Secretaría, justificando la petición y el número de placas que solicita | Fianza en términos de lo establecido en el Reglamento de la LCVEH | Documento que acredite la representación legal e identificación del apoderado legal | Cédula de Identificación Fiscal del fabricante, ensamblador, distribuidor o comerciante de vehículos y opinión de cumplimiento de obligaciones fiscales estatales"
533,Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,Servicio de laboratorio clínico del Hospital del Niño DIF Hidalgo ,96.96969697,615,165069,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Presencial,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,,dias,429,791,615,Nivel 1,Otro,Social,620,0,5,,FALSO,,,0,0,,,,,Interesado | Tutor | Padres,"Acta de nacimiento | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Comprobante de Domicilio | Comprobante de Pago del trámite"
10885,Cambio de Propietario,Cambio de Propietario,100,25387,78668,Secretaría de Hacienda,Secretaría de Hacienda,Presencial,Calle 1 Centro 42500 Actopan Actopan,1,dias,54081,88918,50006,,Actualización De Datos,Ambos,88932,0,15,,VERDADERO,6.50,13.00,0,0,,,,,Representante legal | Interesado | Tercero con carta poder,"Identificación oficial con fotografía Vigente | Comprobante de Domicilio | Cédula de Identificación Fiscal con Registro Federal de Contribuyentes | Clave Única de Registro de Población (CURP) | Poder notarial | Acta constitutiva | Factura | Contrato de Compra-Venta, Cesión de Derechos o Carta Responsiva. | Copia de Identificación oficial con fotografía del Vendedor en su caso. | Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera. | Oficio de autorización expedido por el Sistema de Transporte Convencional de Hidalgo | Juego de placas metálicas o Acta ante el M.P. por robo o extravío | Presentar el formato de Revista que emite SCTH | Certificado de antigüedad vigente emitido por la Universidad Politécnica de Pachuca | Certificado médico expedido por una institución pública"
983,Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),100,16239,73263,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Presencial,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,6,dias,107326,107598,108817,,Certificación,Ambos,47334,0,5,,VERDADERO,706.00,"2,117.00",0,0,,,,,Otro,"Solicitud de ingreso | Comprobante de Pago del trámite | Solicitud por escrito que debe contener: Datos del inmueble o sociedades requeridas, nombre del propietario, ubicación del inmueble, datos de inscripción y tipo de certificación solicitada | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
1064,Asesoría Jurídica.,Asesoría Jurídica,97.14285714,5095,62774,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Presencial,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,0,dias,55601,51492,54603,Nivel 1,Asesoría,Ambos,4207,0,,,FALSO,,,1,1,,1,1,,Interesado,
572,Expedición de Constancia de NO Antecedentes Penales,Expedición de Constancia de NO Antecedentes Penales,100,176203,38426,Procuraduría General de Justicia,Procuraduría General de Justicia,Presencial,Calle S/N Centro Cívico 42083 Pachuca De Soto Pachuca De Soto,1,hrs,41155,38726,34416,Nivel 2,Constancia,Social,38726,0,9,1,VERDADERO,,,0,0,1,,,,Interesado | Tercero con carta poder,"Comprobante de Pago del trámite | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Fotografías del solicitante | Oficio del consulado | Toma de Huellas | Comprobante de Domicilio | Carta Poder | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
490,Radiología e Imagenología del Hospital del Niño DIF Hidalgo,Imagenología del Hospital del Niño DIF Hidalgo ,87.61904762,445,20471,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Presencial,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,,dias,402,479,445,Nivel 1,,Social,413,0,1,,FALSO,,,0,0,,,,,Interesado,Comprobante de Pago del trámite
1095,Patrocinio Jurídico.,Patrocinio Jurídico ,97.43589744,6473,15408,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Presencial,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,1,dias,12196,15792,15078,Nivel 1,Otro,Social,51492,0,1,,FALSO,,,1,1,,,,,Otro | Representante legal | Interesado | Tutor | Padres | Tercero con carta poder,Documentos relacionados con el asunto a tratar 
10837,Admisión COBAEH,Admisión COBAEH,100,498,14182,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,Presencial,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",10,min,14513,14182,13265,Nivel 1,Otro,Social,14182,0,6,,VERDADERO,1.78,2.37,0,0,,,,,Interesado | Tutor | Padres,"1 Copia de certificado de secundaria o constancia de estudios. | Acta de nacimiento | Clave Única de Registro de Población (CURP) | Cuenta de correo electrónico. | Recibo de pago correspondiente, de acuerdo a lo establecido en Cuotas y Tarifas autorizadas para el Colegio. | Copia de comprobante de domicilio."
1269,Legalización de Documentos,Legalización de Documentos ,100,16117,14117,Secretaría de Gobierno,Secretaría de Gobierno,Presencial,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,20,min,19308,16858,15177,Nivel 1,Otro,Ambos,16207,1600,2,,VERDADERO,,,0,0,,,,,Representante legal | Interesado | Tutor | Padres | Tercero con carta poder,"Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
779,Reinscripción COBAEH,Reinscripción COBAEH,100,979,13307,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,Presencial,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",10,min,50157,52697,53338,Nivel 1,Reinscripción,Social,52697,0,1,,VERDADERO,175.00,400.00,0,0,,,,,Interesado | Tutor | Padres,"Recibo de pago correspondiente, de acuerdo a lo establecido en Cuotas y Tarifas autorizadas para el Colegio de Bachilleres del Estado de Hidalgo."
748,"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos","Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",100,3672,12095,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,Presencial,Circuito s.n. San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,2,hrs,29880,11430,12428,Nivel 1,Inscripción,Social,11430,0,6,1,FALSO,,,0,0,1,,,,Interesado,Acta de nacimiento | Fotografías del solicitante | Clave Única de Registro de Población (CURP) | Formato Registro del beneficiario | Antecedentes escolares lleva el original de las boletas de calificaciones | Constancia de estudios
904,Bolsa de Trabajo y Abriendo Espacios,Bolsa de Trabajo y Abriendo Espacios,100,5947,11932,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Presencial,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,,,,,,,Otro,Social,0,0,1,,FALSO,,,0,0,,,,,Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente)"
630,Reinscripción UTTT,Reinscripción UTTT,100,294,11270,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,Presencial,Avenida 1000 El 61 42830 El Carmen (La Mesita) Tula De Allende,15,min,3011,11270,12557,Nivel 1,Reinscripción,Social,3295,0,4,,VERDADERO,15.39,33.14,0,0,,,,,Interesado,Haber aprobado todas las asignaturas del cuatrimestre inmediato anterior. | No presentar en su expediente baja definitiva por faltas al orden institucional. | Realizar el pago de reinscripción en las fechas que estipula la Convocatoria de Reinscripción. | Estudiantes de Reingreso por Baja Temporal
