Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto
7679,Transporte Público Masivo de Pasajeros Tuzobús.,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,5,0,1,Nivel 1,21096550,0,100,VERDADERO
1743,Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Secretaría de Hacienda,Secretaría de Hacienda,Calle No. 1 Centro 42500 Pachuca De Soto Pachuca De Soto,Ambos,10,2,8,Nivel 4.1,368871,0,100,VERDADERO
9229,Canje de Placas,Secretaría de Hacienda,Secretaría de Hacienda,Calle 801 Canutillo 42060 Pachuca De Soto Pachuca De Soto,Ambos,20,3,10,,423743,0,100,VERDADERO
533,Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,,0,2,Nivel 1,620,0,100,FALSO
10885,Cambio de Propietario,Secretaría de Hacienda,Secretaría de Hacienda,Calle 1 Centro 42500 Actopan Actopan,Ambos,1440,2,7,,88932,0,100,VERDADERO
983,Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,Ambos,8640,2,1,,47334,0,100,VERDADERO
1064,Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,Ambos,0,0,0,Nivel 1,4207,0,100,FALSO
572,Expedición de Constancia de NO Antecedentes Penales,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle S/N Centro Cívico 42083 Pachuca De Soto Pachuca De Soto,Social,60,1,5,Nivel 2,38726,0,100,VERDADERO
490,Radiología e Imagenología del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,,0,1,Nivel 1,413,0,100,FALSO
1095.0,Patrocinio Jurídico.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,Social,1440,0,1,Nivel 1,51492,0,100,FALSO
10837.0,Admisión COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",Social,10,0,3,Nivel 1,14182,0,100,VERDADERO
1269.0,Legalización de Documentos,Secretaría de Gobierno,Secretaría de Gobierno,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,20,0,0,Nivel 1,16207,1600,91.01476947,VERDADERO
779.0,Reinscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",Social,10,0,0,Nivel 1,52697,0,100,VERDADERO
748.0,"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,Circuito s.n. San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,Social,120,1,4,Nivel 1,11430,0,100,FALSO
904.0,Bolsa de Trabajo y Abriendo Espacios,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,Social,,0,0,,0,0,0,FALSO
