Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto,visitas_totales,Visitas RUTS,Indice_Esfuerzo_A
7679.0,Transporte Público Masivo de Pasajeros Tuzobús.,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,5.0,0,1,1,21096550,0,100.0,1,454.0,3852.0,-1.4324105638586997
1743.0,Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Secretaría de Hacienda,Secretaría de Hacienda,Calle No. 1 Centro 42500 Pachuca De Soto Pachuca De Soto,Ambos,10.0,2,8,12,368871,0,100.0,1,39912.0,81886.0,9.619705744116576
9229.0,Canje de Placas,Secretaría de Hacienda,Secretaría de Hacienda,Calle 801 Canutillo 42060 Pachuca De Soto Pachuca De Soto,Ambos,20.0,3,10,1,423743,0,100.0,1,5168.0,82305.0,-1.2840453840244357
533.0,Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,22864.51619047619,0,2,1,620,0,100.0,0,667.0,3305.4179357022,-1.5372640683649288
10885.0,Cambio de Propietario,Secretaría de Hacienda,Secretaría de Hacienda,Calle 1 Centro 42500 Actopan Actopan,Ambos,1440.0,2,7,1,88932,0,100.0,1,2871.0670103092784,25387.0,-1.3397200024122247
983.0,Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,Ambos,8640.0,2,1,1,47334,0,100.0,1,25610.0,16239.0,-1.4748365459509227
1064.0,Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,Ambos,0.0,0,0,1,4207,0,100.0,0,2083.0,22.0,-1.4720333478027898
572.0,Expedición de Constancia de NO Antecedentes Penales,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle S/N Centro Cívico 42083 Pachuca De Soto Pachuca De Soto,Social,60.0,1,5,2,38726,0,100.0,1,374832.0,176203.0,-0.37171888173377365
490.0,Radiología e Imagenología del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,22864.51619047619,0,1,1,413,0,100.0,0,409.0,3305.4179357022,-1.5545459693886252
1095.0,Patrocinio Jurídico.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,Social,1440.0,0,1,1,51492,0,100.0,0,7889.0,6473.0,-1.4610364742583664
