Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Transporte Público Masivo de Pasajeros Tuzobús.,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,5.0,1.0,0.0,Nivel 1,1.0,2,-0.31733214990621883
Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Secretaría de Hacienda,Secretaría de Hacienda,10.0,8.0,2.0,Nivel 4.1,1.0,0,-0.17700583146128052
Canje de Placas,Secretaría de Hacienda,Secretaría de Hacienda,20.0,10.0,3.0,,1.0,2,1.034716288323171
Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,0.0,1,-0.3881603833193521
Cambio de Propietario,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,7.0,2.0,,1.0,2,1.033685884900203
Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,,1.0,2,0.7503272654965899
Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,0.0,0.0,0.0,Nivel 1,0.0,1,-0.6539868457103444
Expedición de Constancia de NO Antecedentes Penales,Procuraduría General de Justicia,Procuraduría General de Justicia,60.0,5.0,1.0,Nivel 2,1.0,2,0.07156139220748095
Radiología e Imagenología del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Patrocinio Jurídico.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Admisión COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,3.0,0.0,Nivel 1,1.0,2,-0.1733168272390962
Legalización de Documentos,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,2,-0.21690125288526685
Reinscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,0.0,0.0,Nivel 1,1.0,2,-0.26873974735284833
"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,120.0,4.0,1.0,Nivel 1,0.0,1,-0.3448765441671233
Bolsa de Trabajo y Abriendo Espacios,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,,0.0,1,0.19790030296624989
Reinscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,15.0,2.0,0.0,Nivel 1,1.0,2,-0.14327858362747986
Becas Institucionales UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Apostillas,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,2,-0.21690125288526685
Acreditación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,8640.0,2.0,0.0,Nivel 1,0.0,1,-0.17646814822286827
Certificación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,12960.0,1.0,0.0,Nivel 1,0.0,1,-0.2393890298290688
(Inscripción y Reinscripción) por módulo CONALEPH.,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,4.0,0.0,Nivel 1,1.0,2,0.34640324060502176
Reinscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,1.0,0.0,,1.0,2,-0.16530232942422568
Educación Continua UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,120.0,6.0,1.0,Nivel 2,1.0,2,0.12646946215353397
Conciliación prejudicial laboral,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Por Búsqueda de Testamento y Expedición de Constancia,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,2,0.14088559287035698
Reinscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,1.0,0.0,Nivel 4.2,1.0,0,-0.8196282145995166
Credencial Institucional UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,Nivel 4.2,0.0,0,-1.3643733952371802
Evaluación Segunda Oportunidad (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,1.0,0.0,,1.0,2,0.29069467502686963
