Idtram,Nombre,Modalidad,Secretaria,Dependencia,Domicilio,Visitas RUTS
335,Contratación de Agua Potable y Alcantarillado Sanitario para Tarifa Doméstica,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Morelos 42040 Pachuca De Soto Pachuca De Soto,15301
424,Inconformidades en Materia de Obra Pública,Presencial,Secretaría de Contraloría,Secretaría de Controlaría,Avenida 301 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,362
425,Inconformidades en Materia de Adquisiciones,Presencial,Secretaría de Contraloría,Secretaría de Controlaría,Avenida 301 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,478
426,Asesoría y Capacitación en Materia de Contraloría Social,Presencial,Secretaría de Contraloría,Secretaría de Controlaría,Carretera Lote 4-B Fracción I Ex Hacienda La Concepción 42162 San Juan Tilcuautla San Agustín Tlaxiaca,1167
437,"Recepción y Seguimiento de Quejas, Denuncias y Solicitudes de Contraloría Social.",Presencial,Secretaría de Contraloría,Secretaría de Controlaría,Carretera Lote 4-B Fracción I Ex Hacienda La Concepción 42162 San Juan Tilcuautla San Agustín Tlaxiaca,3569
443,Atención de Quejas y Denuncias,Presencial,Secretaría de Contraloría,Secretaría de Controlaría,Calle 301 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,55
462,Centros de Atención Infantil (CAI),Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 104 Ex. Hacienda de Guadalupe 42000 Pachuca De Soto Pachuca De Soto,9358
480,Revisión de Bases,Presencial,Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 301 Col. Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",1813
499,Registro de Organizaciones de la Sociedad Civil de Asistencia Social,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 15 Centro 42000 Pachuca De Soto Pachuca De Soto,2041
540,Constancia de Uso de Suelo,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,0
554,Servicio Social DIF,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,1009
572,Expedición de Constancia de NO Antecedentes Penales,Presencial,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle S/N Centro Cívico 42083 Pachuca De Soto Pachuca De Soto,176203
637,Derecho de Preferencia,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,1173
761,Atención Ciudadana y Recepción de Quejas o Denuncias en contra de Servidores Públicos de la PGJH,Presencial,Procuraduría General de Justicia,Procuraduría General de Justicia,Boulevard 511 Valle de San Javier 42083 Pachuca De Soto Pachuca De Soto,
825,Pago de Derechos Anuales de las Unidades Autorizadas por el Sistema de Transporte Convencional,Presencial,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,Avenida 205 La Colonia 42083 Pachuca De Soto Pachuca De Soto,
876,Inicio de Carpetas de Investigación Presencial,Presencial,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle S/N Centro Civico 42083 Pachuca De Soto Pachuca De Soto,
925,Prevención Social de la Violencia y la Delincuencia.,Presencial,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Calle S/N Fraccionamiento Colosio II 42039 Pachuca De Soto Pachuca De Soto,1837
933,"Doble nacionalidad ""Ya Soy Hidalguense"" (Totalmente gratuito)",Presencial,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Calle 101 Ampliación Santa Julia 42080 Pachuca De Soto Pachuca De Soto,1063
959,Traslados de Restos Mortuorios,Presencial,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Calle 101 Ampliación Santa Julia 42080 Pachuca De Soto Pachuca De Soto,3181
961,Asesoria en materia de Seguridad y Salud en el Trabajo,Presencial,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,421
990,"Expedición de Copias Certificadas en Libros (del año 2015 y Años Anteriores), e Impresión de Folios a partir del año 2015 (Registro Público de la Propiedad y del Comercio)",Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Calle 907 Fraccionamiento 42094 Pachuca De Soto Pachuca De Soto,4754
1020,Asesorías laborales sobre tus derechos y obligaciones como trabajador.,Presencial,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,2059
1064,Asesoría Jurídica.,Presencial,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,22
1175,Registro Estatal de Consultores en Materia de Protección Civil,Presencial,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 115 Revolución 42060 Pachuca De Soto Pachuca De Soto,2033
1177,Renovación anual del registro estatal de consultores en materia de protección civil,Presencial,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 903 Revolución 42060 Pachuca De Soto Pachuca De Soto,559
1182,Asistencia a Proyectos Turísticos.,Presencial,Secretaría de Turismo,Secretaría de Turismo,Boulevard 340 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,718
1185,Registro de Marca,Presencial,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Avenida s/n Periodistas 42060 Pachuca De Soto Pachuca De Soto,
1261,"Por la Suscripción al Periódico Oficial, por ejercicio fiscal vigente.",Presencial,Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,250
1269,Legalización de Documentos,Presencial,Secretaría de Gobierno,Secretaría de Gobierno,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,16117
1288,Permiso provisional para conducir,Presencial,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Calle 301 Valle de San Javier 0 Pachuca De Soto Pachuca De Soto,
1301,Expedición de Registro de Personal Docente de instituciones particulares de educación superior,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,3750
1318,Constancia de Vehículo No Robado,Presencial,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle Km 84.5 SPAUAH 42083 Pachuca De Soto Pachuca De Soto,6336
