idtram,nombre,secretaria,dependencia,visitas_totales,year
1285,Licencia para conducir vehículos.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,399831,2023
572,Expedición de Constancia de NO Antecedentes Penales,Procuraduría General de Justicia,Procuraduría General de Justicia,374832,2023
1735,Alta de vehículo particular,Secretaría de Hacienda,Secretaría de Hacienda,127797,2023
1286,Canje de Licencia para Conducir Vehículos.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,87609,2023
447,Expedición de Constancias de No inhabilitación,Secretaría de Contraloría,Secretaría de Controlaría,82122,2023
1323,Expedición de Actas del Registro Familiar,Secretaría de Gobierno,Dirección del Registro del Estado Familiar,65968,2023
904,Bolsa de Trabajo y Abriendo Espacios,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,45865,2023
931,Procedimientos administrativos (corrección de actas),Secretaría de Gobierno,Dirección del Registro del Estado Familiar,45665,2023
1743,Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Secretaría de Hacienda,Secretaría de Hacienda,39912,2023
384,Inscripción en el Padrón de Proveedores (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,37600,2023
335,Contratación de agua potable y alcantarillado sanitario para tarifa Doméstica,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,32537,2023
873,Expedición de Actas Interestatales,Secretaría de Gobierno,Dirección del Registro del Estado Familiar,28428,2023
1287,"Reposición de Licencia para Conducir Vehículos por robo o extravío. (chofer, automovilista, motociclista).",Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,27394,2023
986,Certificado de Inscripción (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,26672,2023
6717,Convocatoria del Instituto de Formación Profesional,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,26668,2023
983,Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,25610,2023
1560,Preinscripciones de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,24966,2023
553,Licencia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,23401,2023
3784,Registro y Expedición de Cartilla Militar Nacional y Expedición de Constancia de Inexistencia de registro de Cartilla de Identidad Militar.,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,21278,2023
3787,Expedición de Actas,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,21160,2023
918,Programa de Trabajadores Agrícolas Temporales México- Canadá (PTAT).,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,20870,2023
1269,Legalización de Documentos,Secretaría de Gobierno,Secretaría de Gobierno,20465,2023
1041,Certificado Médico,Secretaría de Salud,Secretaría de Salud,19243,2023
876,Número Único de Caso de la Carpeta de Investigación,Procuraduría General de Justicia,Procuraduría General de Justicia,17369,2023
1288,Permiso provisional para conducir,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,17062,2023
406,Inscripción al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,15072,2023
332,Inscripción en el Padrón de Proveedores (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,14526,2023
481,Consulta externa de pediatría y especialidades en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,14386,2023
1559,Becas de Educación Básica para escuelas públicas y particulares,Secretaría de Educación Pública,Instituto Hidalguense de Educación,14206,2023
820,"Autorización para Reposición de Placas por robo, extravío o robo de unidad",Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,14026,2023
4780,Constancia de No Infracción,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,13811,2023
780,Obtención de la Autorización de Impacto Ambiental,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,13395,2023
1147,Servicio Médico Hospitalario,Secretaría de Salud,Secretaría de Salud,12896,2023
392,Inscripción al Padrón de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,12559,2023
928,Expedición de Constancias de Inexistencia de Registro,Secretaría de Gobierno,Dirección del Registro del Estado Familiar,12312,2023
7103,Captura de actas en plataforma SIDEA,Secretaría de Gobierno,Dirección del Registro del Estado Familiar,12078,2023
429,Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,11899,2023
3812,Licencia de Construcción,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,11297,2023
3724,Entrega de animales para observación clínica sospechosos a rabia,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,10918,2023
1075,Atención médica psiquiátrica,Secretaría de Salud,Secretaría de Salud,10719,2023
1367,Cambio del tipo de Licencia de Conducir de Automovilista (tipo “B” a Chofer ( tipo “A”,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,10321,2023
5521,Solicitud de Incorporación al Programa Fortalecimiento a la Calidad y Espacios de la Vivienda,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,10245,2023
